Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2021-06-05,Gone Mom: The Disappearance of Jennifer Dulos,"Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.",257.852,113,7.8,en,"TV Movie, Thriller, Crime",https://image.tmdb.org/t/p/original/mzTNGnLG6LTHmrqrY0IADHDuyOJ.jpg
2021-06-28,Ripper Untold,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,257.473,75,6.6,en,Horror,https://image.tmdb.org/t/p/original/4msDckyD51Fx3qzVRHtb3lFHo2c.jpg
2021-05-26,Meander,"After getting a car ride from an unknown man, Lisa wakes up in a tube. On her arm is strapped a bracelet with a countdown. She quickly understands that every 8 minutes, fire burns an occupied section. She has no choice but to crawl into safe sections to survive. To know why she’s there and how to get out, Lisa will have to face the memories of her dead daughter…",256.866,218,6.1,fr,"Horror, Science Fiction, Drama, Thriller",https://image.tmdb.org/t/p/original/2OTIAx8AmwGCaXmq5ohQCyPUjdC.jpg
2021-11-18,Zeros and Ones,"Called to Rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. Navigating the capital's darkened streets, he races to a series of ominous encounters to keep the Vatican from being blown to bits.",256.443,117,5.3,en,"Thriller, War",https://image.tmdb.org/t/p/original/a6balsDWCFMHPaPT6rFoBpNjR6z.jpg
2021-07-22,Snake Eyes: G.I. Joe Origins,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",254.31,1028,6.8,en,"Action, Adventure",https://image.tmdb.org/t/p/original/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg
2021-10-08,Survive the Game,"When cop David is injured in a drug bust gone wrong, his partner Cal chases the two criminals who shot him. They all land at a remote farm owned by troubled vet Eric, and as Cal and Eric plot their defense, more of the gang arrives - along with a wounded David. Outnumbered, the three heroes must use stealth, smarts, and good shooting to take down the drug-dealing mob.",252.22,107,5.8,en,"Action, Thriller, Crime",https://image.tmdb.org/t/p/original/xF1uc2pEf34X2G41wvZaF5H0V7C.jpg
2021-05-28,Riverdance: The Animated Adventure,A young Irish boy named Keegan and Spanish girl named Moya journey into a magical world of the Megaloceros Giganteus who teach them to appreciate Riverdance as a celebration of life. Based on the stage show phenomenon of the same name and featuring Bill Whelan’s multi-platinum Grammy Award-winning music.,250.831,28,5.2,en,"Animation, Fantasy, Music, Adventure, Comedy, Family",https://image.tmdb.org/t/p/original/i6TRDlVuuEXMyLSlIkDd8YhBN0r.jpg
2021-11-12,Apex,"Ex-cop Thomas Malone is serving a life sentence for a crime he didn’t commit. He is offered a chance at freedom if he can survive a deadly game of Apex, in which six hunters pay for the pleasure of hunting another human on a remote island. He accepts, and once he arrives, all hell breaks loose.",249.46,402,5.4,en,"Action, Thriller, Science Fiction",https://image.tmdb.org/t/p/original/chTkFGToW5bsyw3hgLAe4S5Gt3.jpg
2022-02-02,The Tinder Swindler,"Posing as a wealthy, jet-setting diamond mogul, an Israeli conman wooed women online then conned them out of millions of dollars. Now some victims plan for payback.",246.652,455,7.1,en,"Documentary, Crime",https://image.tmdb.org/t/p/original/iLUSFjdavIf0SrP7ldoQ1xomQVC.jpg
2022-02-11,Love Tactics,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",244.573,83,6.7,tr,"Romance, Comedy",https://image.tmdb.org/t/p/original/8RyASTsrKKRnQ9xSGJDuImD8cjX.jpg
